Dates,Open,Close
21/06/2018 15:30,187.25,187.13
21/06/2018 15:35,187.13,187.07
21/06/2018 15:40,187.06,187.55
21/06/2018 15:45,187.53,187.81
21/06/2018 15:50,187.82,188.26
21/06/2018 15:55,188.25,187.75
21/06/2018 16:00,187.71,187.49
21/06/2018 16:05,187.48,187.14
21/06/2018 16:10,187.15,187.5
21/06/2018 16:15,187.492,186.88
21/06/2018 16:20,186.89,187.112
21/06/2018 16:25,187.121,187.09
21/06/2018 16:30,187.088,187.21
21/06/2018 16:35,187.24,186.9
21/06/2018 16:40,186.9,186.93
21/06/2018 16:45,186.91,186.84
21/06/2018 16:50,186.853,186.96
21/06/2018 16:55,186.961,186.66
21/06/2018 17:00,186.66,186.63
21/06/2018 17:05,186.62,186.44
21/06/2018 17:10,186.46,186.716
21/06/2018 17:15,186.72,186.75
21/06/2018 17:20,186.76,186.75
21/06/2018 17:25,186.74,186.67
21/06/2018 17:30,186.69,186.72
21/06/2018 17:35,186.74,186.875
21/06/2018 17:40,186.87,187.12
21/06/2018 17:45,187.11,187.11
21/06/2018 17:50,187.101,186.943
21/06/2018 17:55,186.946,186.671
21/06/2018 18:00,186.671,185.992
21/06/2018 18:05,185.99,186.06
21/06/2018 18:10,186.06,186.29
21/06/2018 18:15,186.29,186.06
21/06/2018 18:20,186.06,186.06
21/06/2018 18:25,186.064,185.48
21/06/2018 18:30,185.483,185.09
21/06/2018 18:35,185.111,185.24
21/06/2018 18:40,185.24,185.35
21/06/2018 18:45,185.36,185.46
21/06/2018 18:50,185.45,185.562
21/06/2018 18:55,185.55,185.27
21/06/2018 19:00,185.279,185.33
21/06/2018 19:05,185.326,185.28
21/06/2018 19:10,185.28,185.33
21/06/2018 19:15,185.32,185.46
21/06/2018 19:20,185.456,185.53
21/06/2018 19:25,185.54,185.41
21/06/2018 19:30,185.42,185.51
21/06/2018 19:35,185.516,185.47
21/06/2018 19:40,185.47,185.475
21/06/2018 19:45,185.473,185.44
21/06/2018 19:50,185.444,185.262
21/06/2018 19:55,185.26,185.28
21/06/2018 20:00,185.28,185.27
21/06/2018 20:05,185.275,185.4
21/06/2018 20:10,185.41,185.509
21/06/2018 20:15,185.53,185.41
21/06/2018 20:20,185.42,185.395
21/06/2018 20:25,185.385,185.35
21/06/2018 20:30,185.36,185.36
21/06/2018 20:35,185.385,185.36
21/06/2018 20:40,185.355,185.3
21/06/2018 20:45,185.291,185.19
21/06/2018 20:50,185.21,185.19
21/06/2018 20:55,185.19,185.06
21/06/2018 21:00,185.07,185.225
21/06/2018 21:05,185.22,185.32
21/06/2018 21:10,185.31,185.21
21/06/2018 21:15,185.216,185.088
21/06/2018 21:20,185.08,185.29
21/06/2018 21:25,185.29,185.46
21/06/2018 21:30,185.46,185.18
21/06/2018 21:35,185.17,185.06
21/06/2018 21:40,185.04,185.02
21/06/2018 21:45,185.01,185.12
21/06/2018 21:50,185.12,185.38
21/06/2018 21:55,185.38,185.46
21/06/2018 22:25,185.48,185.46
22/06/2018 15:30,186.12,185.91
22/06/2018 15:35,185.93,185.66
22/06/2018 15:40,185.68,185.42
22/06/2018 15:45,185.415,185.27
22/06/2018 15:50,185.27,185.61
22/06/2018 15:55,185.64,185.53
22/06/2018 16:00,185.527,185.615
22/06/2018 16:05,185.62,185.75
22/06/2018 16:10,185.75,185.6
22/06/2018 16:15,185.59,185.534
22/06/2018 16:20,185.54,185.26
22/06/2018 16:25,185.27,185.095
22/06/2018 16:30,185.09,185.13
22/06/2018 16:35,185.12,184.84
22/06/2018 16:40,184.84,185.07
22/06/2018 16:45,185.07,185.26
22/06/2018 16:50,185.26,185.385
22/06/2018 16:55,185.38,185.65
22/06/2018 17:00,185.66,185.515
22/06/2018 17:05,185.52,185.4
22/06/2018 17:10,185.4,185.37
22/06/2018 17:15,185.36,185.4
22/06/2018 17:20,185.39,185.18
22/06/2018 17:25,185.18,185.41
22/06/2018 17:30,185.42,185.32
22/06/2018 17:35,185.32,185.44
22/06/2018 17:40,185.44,185.53
22/06/2018 17:45,185.52,185.44
22/06/2018 17:50,185.45,185.35
22/06/2018 17:55,185.35,185.27
22/06/2018 18:00,185.27,185.26
22/06/2018 18:05,185.263,185.282
22/06/2018 18:10,185.29,185.44
22/06/2018 18:15,185.43,185.33
22/06/2018 18:20,185.33,185.26
22/06/2018 18:25,185.25,185.4
22/06/2018 18:30,185.401,185.445
22/06/2018 18:35,185.46,185.48
22/06/2018 18:40,185.486,185.595
22/06/2018 18:45,185.6,185.58
22/06/2018 18:50,185.58,185.58
22/06/2018 18:55,185.58,185.68
22/06/2018 19:00,185.675,185.825
22/06/2018 19:05,185.825,185.92
22/06/2018 19:10,185.919,185.77
22/06/2018 19:15,185.77,185.63
22/06/2018 19:20,185.63,185.699
22/06/2018 19:25,185.695,185.764
22/06/2018 19:30,185.77,185.62
22/06/2018 19:35,185.616,185.789
22/06/2018 19:40,185.785,185.795
22/06/2018 19:45,185.79,185.67
22/06/2018 19:50,185.67,185.75
22/06/2018 19:55,185.76,185.78
22/06/2018 20:00,185.78,185.8
22/06/2018 20:05,185.81,185.68
22/06/2018 20:10,185.69,185.6
22/06/2018 20:15,185.61,185.55
22/06/2018 20:20,185.551,185.51
22/06/2018 20:25,185.52,185.625
22/06/2018 20:30,185.63,185.52
22/06/2018 20:35,185.52,185.67
22/06/2018 20:40,185.67,185.73
22/06/2018 20:45,185.729,185.83
22/06/2018 20:50,185.842,185.76
22/06/2018 20:55,185.75,185.78
22/06/2018 21:00,185.78,185.7
22/06/2018 21:05,185.71,185.82
22/06/2018 21:10,185.81,185.81
22/06/2018 21:15,185.8,185.68
22/06/2018 21:20,185.68,185.766
22/06/2018 21:25,185.77,185.77
22/06/2018 21:30,185.77,185.85
22/06/2018 21:35,185.85,185.69
22/06/2018 21:40,185.7,185.83
22/06/2018 21:45,185.835,185.72
22/06/2018 21:50,185.73,185.365
22/06/2018 21:55,185.36,184.92
22/06/2018 22:10,184.92,184.92
22/06/2018 22:25,184.92,184.92
25/06/2018 15:30,183.4,184.66
25/06/2018 15:35,184.68,184.2
25/06/2018 15:40,184.23,184.21
25/06/2018 15:45,184.21,183.39
25/06/2018 15:50,183.4,183.63
25/06/2018 15:55,183.63,183.26
25/06/2018 16:00,183.318,183.46
25/06/2018 16:05,183.41,183.67
25/06/2018 16:10,183.67,183.33
25/06/2018 16:15,183.33,183.33
25/06/2018 16:20,183.33,183.69
25/06/2018 16:25,183.685,183.71
25/06/2018 16:30,183.71,183.779
25/06/2018 16:35,183.77,183.64
25/06/2018 16:40,183.62,183.93
25/06/2018 16:45,183.92,183.91
25/06/2018 16:50,183.9,183.55
25/06/2018 16:55,183.55,183.35
25/06/2018 17:00,183.34,183.01
25/06/2018 17:05,183.01,183.1
25/06/2018 17:10,183.08,183.15
25/06/2018 17:15,183.14,182.941
25/06/2018 17:20,182.94,182.54
25/06/2018 17:25,182.56,182.7
25/06/2018 17:30,182.7,182.26
25/06/2018 17:35,182.28,182.25
25/06/2018 17:40,182.23,182.44
25/06/2018 17:45,182.44,182.57
25/06/2018 17:50,182.56,182.42
25/06/2018 17:55,182.42,182.334
25/06/2018 18:00,182.33,181.57
25/06/2018 18:05,181.57,181.069
25/06/2018 18:10,181.06,181.19
25/06/2018 18:15,181.21,181.061
25/06/2018 18:20,181.065,181.26
25/06/2018 18:25,181.26,181.475
25/06/2018 18:30,181.48,181.44
25/06/2018 18:35,181.43,181.038
25/06/2018 18:40,181.04,181.37
25/06/2018 18:45,181.37,181.1
25/06/2018 18:50,181.11,181.17
25/06/2018 18:55,181.18,181.18
25/06/2018 19:00,181.2,180.96
25/06/2018 19:05,180.96,181.2
25/06/2018 19:10,181.19,181.025
25/06/2018 19:15,181.03,180.99
25/06/2018 19:20,180.99,181.14
25/06/2018 19:25,181.14,181.3
25/06/2018 19:30,181.29,181.345
25/06/2018 19:35,181.348,181.672
25/06/2018 19:40,181.66,181.98
25/06/2018 19:45,181.99,182.13
25/06/2018 19:50,182.135,181.854
25/06/2018 19:55,181.86,181.7
25/06/2018 20:00,181.72,181.69
25/06/2018 20:05,181.68,181.55
25/06/2018 20:10,181.551,181.51
25/06/2018 20:15,181.51,181.45
25/06/2018 20:20,181.458,181.375
25/06/2018 20:25,181.375,181.42
25/06/2018 20:30,181.41,181.15
25/06/2018 20:35,181.15,180.87
25/06/2018 20:40,180.86,181.03
25/06/2018 20:45,181.04,180.81
25/06/2018 20:50,180.815,180.76
25/06/2018 20:55,180.77,181.09
25/06/2018 21:00,181.09,181.085
25/06/2018 21:05,181.09,181.04
25/06/2018 21:10,181.02,180.94
25/06/2018 21:15,180.96,181.54
25/06/2018 21:20,181.54,181.56
25/06/2018 21:25,181.55,181.48
25/06/2018 21:30,181.485,181.51
25/06/2018 21:35,181.51,182.33
25/06/2018 21:40,182.32,182.61
25/06/2018 21:45,182.59,182.2
25/06/2018 21:50,182.21,182.51
25/06/2018 21:55,182.51,182.17
25/06/2018 22:00,182.17,182.17
25/06/2018 22:10,182.17,182.17
25/06/2018 22:25,182.18,182.17
26/06/2018 15:30,182.99,182.924
26/06/2018 15:35,182.96,183.28
26/06/2018 15:40,183.275,184.01
